icao,tail,plane,tail_prefix,Country or region
683298,UP-B3732,Boeing 737-82R,UP,Kazakhstan
683329,UP-B3737,Boeing 737-8,UP,Kazakhstan
6830bb,UP-CS301,Cessna 525B CitationJet CJ3,UP,Kazakhstan
6831ef,UP-B3712,Boeing 737-35B,UP,Kazakhstan
683266,UP-B3720,Boeing 737-8,UP,Kazakhstan
683285,UP-CS502,Cessna 750 Citation X,UP,Kazakhstan
68333a,UP-EM025,Embraer ERJ 135BJ Legacy 650,UP,Kazakhstan
683273,UP-B3726,Boeing 737-9,UP,Kazakhstan
68332f,UP-EM024,Embraer ERJ 135BJ Legacy 650,UP,Kazakhstan
68327b,UP-EM019,Embraer ERJ 135BJ Legacy 600,UP,Kazakhstan
683296,UP-B3730,Boeing 737-82R,UP,Kazakhstan
683297,UP-B3731,Boeing 737-82R,UP,Kazakhstan
683274,UP-B3727,Boeing 737-9,UP,Kazakhstan
600018,EK-AAD,Airbus A321-231,EK,Armenia
600003,EK-YRC,Airbus A320-214,EK,Armenia
600012,EK-SHC,Boeing 737-55S,EK,Armenia
600004,EK-FOA,Airbus A319-112,EK,Armenia
600009,EK-222,SOCATA TBM 940,EK,Armenia
600005,EK73740,Boeing 737-3L9,EK,Armenia
600010,EK73736,Boeing 737-505,EK,Armenia
600031,EK-FOB,Airbus A320-233,EK,Armenia
600001,EK-YRB,Airbus A320-214,EK,Armenia
6000a2,EK-SHA,Boeing 737-505,EK,Armenia
010146,SU-GDZ,Boeing 737-866,SU,Egypt
01010a,SU-GDB,Boeing 737-866,SU,Egypt
010147,SU-GEA,Boeing 737-866,SU,Egypt
010160,SU-GEB,Boeing 737-866,SU,Egypt
0100df,SU-GCR,Boeing 737-866,SU,Egypt
010161,SU-GEC,Boeing 737-866,SU,Egypt
0100dd,SU-GCO,Boeing 737-866,SU,Egypt
0101b6,SU-GEF,Boeing 737-800WL,SU,Egypt
010250,SU-TCL,Airbus A321-231,SU,Egypt
01010b,SU-GDC,Boeing 737-866,SU,Egypt
010109,SU-GDA,Boeing 737-886,SU,Egypt
010256,SU-TCM,Airbus A321-231,SU,Egypt
010145,SU-GDY,Boeing 737-866,SU,Egypt
6010ef,EX-32008,Airbus A320-233,EX,Kyrgyzstan
6010f7,EX-32009,Airbus A320-233,EX,Kyrgyzstan
601115,EX-32010,Airbus A320-232,EX,Kyrgyzstan
60111c,EX-32014,Airbus A320-214,EX,Kyrgyzstan
6010ab,EX-37012,Boeing 737-33A,EX,Kyrgyzstan
6010c5,EX-37015,Boeing 737-3K2,EX,Kyrgyzstan
49c0e7,OK-QUU 06,BRM Aero Bristell NG5 SpeedWing,OK,Czech Republic
60003c,701,Airbus A319-132,,
155c40,89152,Sukhoi Superjet 100-95B,,
466b38,,-,,
032091,,-,,
053977,VARIOUS,Several Different Aircraft,,
600be9,,-,,
ea000f,,-,,
26002b,,-,,
1f3395,78741,Ilyushin Il-78M-90A,,
0a402d,7T-VPP,Airbus A340-541X Prestige,7T,Algeria
0a0093,7T-VKT,Boeing 737-7D6C,7T,Algeria
0a0074,7T-VKD,Boeing 737-8D6,7T,Algeria
600805,4K-AZ05,Airbus A319-111,4K,Azerbaijan
600853,4K-AZ83,Airbus A320-214,4K,Azerbaijan
600bbf,4K-AZ11,Boeing 757-22L,4K,Azerbaijan
60084d,4K-AZ77,Airbus A320-214,4K,Azerbaijan
600843,4K-AZ67,Embraer 190-100AR,4K,Azerbaijan
600801,4K-8888,Airbus A319-115X CJ,4K,Azerbaijan
60084f,4K-AZ79,Airbus A320-214,4K,Azerbaijan
600866,4K-AZ102,Ilyushin IL-76TD,4K,Azerbaijan
600850,4K-AZ80,Airbus A320-214,4K,Azerbaijan
4c01e7,YU-APH,Airbus A320-232,YU,Serbia
4c01ea,YU-APK,Airbus A319-132,YU,Serbia
4c01e1,YU-APB,Airbus A319-132,YU,Serbia
4c01ed,YU-APN,Airbus A319-132,YU,Serbia
4c01ee,YU-APO,Airbus A320-232,YU,Serbia
4c01f2,YU-APS,Airbus A320-232,YU,Serbia
4c01ec,YU-APM,Airbus A319-132,YU,Serbia
60183d,EZ-A015,Boeing 737-82K,EZ,Turkmenistan
601848,EZ-F428,Ilyushin Il-76TD,EZ,Turkmenistan
60183c,EZ-A016,Boeing 737-82K,EZ,Turkmenistan
60183b,EZ-A017,Boeing 737-82K,EZ,Turkmenistan
706132,9K-CBK,Airbus A320-251N,9K,Kuwait
70612c,9K-CBE,Airbus A320-251N,9K,Kuwait
706131,9K-CBJ,Airbus A320-251N,9K,Kuwait
706130,9K-CBI,Airbus A320-251N,9K,Kuwait
89409e,A9C-NA,Airbus A321-253NX,A9C,Bahrain
7335c6,EP-MNF,Airbus A310-304,EP,Iran
734e70,EP-SSP,Airbus A319-111,EP,Iran
7335a1,EP-MMA,Airbus A340-311,EP,Iran
7335a3,EP-MMC,Airbus A340-313,EP,Iran
734e6c,EP-SSL,Airbus A319-111,EP,Iran
73054a,EP-AJJ,Airbus A320-212,EP,Iran
734e6d,EP-SSM,Airbus A321-231,EP,Iran
7335a4,EP-MMD,Airbus A340-313,EP,Iran
0d8469,YV3535,Airbus A340-642,YV,Venezuela
70c0a7,A4O-DD,Airbus A330-343X,A4O,Oman
70c0a5,A4O-DB,Airbus A330-343X,A4O,Oman
70c0ab,A4O-DE,Airbus A330-343X,A4O,Oman
728677,YI-ASW,Boeing 737-800WL,YI,Iraq
728676,YI-ASV,Boeing 737-800WL,YI,Iraq
72866d,YI-ASM,Boeing 737-8,YI,Iraq
72866c,YI-ASL,Boeing 737-8,YI,Iraq
02a1a7,TS-INH,Airbus A320-214,TS,Tunisia
778681,YK-ATA,Ilyushin Il-76T,YK,Syria
778827,YK-BAG,Airbus A320-212,YK,Syria
0200ae,CN-ROY,Boeing 737-8B6,CN,Morocco
02007a,CN-ROP,Boeing 737-8B6,CN,Morocco
020072,CN-ROL,Boeing 737-8B6,CN,Morocco
040047,ET-AOQ,Boeing 787-8,ET,Ethiopia
040048,ET-AOR,Boeing 787-8,ET,Ethiopia
3cd70e,D-CITA,Learjet 60,D,Germany
5140b3,4L-GTD,Boeing 737-8FH,4L,Georgia
51408c,4L-GTI,Boeing 737-7CT,4L,Georgia
09a055,C5-SUV,Embraer ERJ 135BJ Legacy 650,C5,Gambia
504e64,ER-00006,Airbus A320-232,ER,Moldova
515313,EY-787,Boeing 737-8GJ,EY,Tajikistan
06a0b3,A7-BCO,Boeing 787-8,A7,Qatar
