icao,tail,plane,tail_prefix,Country or region
155bda,RA-89050,Sukhoi SuperJet 100-95LR,RA,Russia
43beb9,RA-73151,Airbus A350-941,RA,Russia
152026,RA-73766,Airbus A320-214,RA,Russia
151feb,RA-73707,Airbus A321-211,RA,Russia
151fe9,RA-73705,Airbus A321-251NX,RA,Russia
155c06,RA-89094,Sukhoi SuperJet 100-95LR,RA,Russia
140b2f,RA-02863,Embraer 170-100SU,RA,Russia
152071,RA-73841,Airbus A321-231,RA,Russia
15069d,RA-67229,Canadair CL-600-2B19 Regional Jet CRJ-200LR,RA,Russia
151d84,RA-73092,Boeing 757-222SF,RA,Russia
157766,RA-96102,Ilyushin Il-96-400T,RA,Russia
151e2e,RA-73262,Boeing 737-7CT,RA,Russia
151e55,RA-73301,Boeing 737-8LJ,RA,Russia
151da9,RA-73129,Boeing 737-800WL,RA,Russia
155c2a,RA-89130,Sukhoi SuperJet 100-95B,RA,Russia
155bf6,RA-89078,Sukhoi SuperJet 100-95LR,RA,Russia
15200a,RA-73738,Airbus A320-214,RA,Russia
151dab,RA-73131,Boeing 777-3M0ER,RA,Russia
14fc16,RA-64534,Tupolev Tu-214PU,RA,Russia
15205f,RA-73823,Airbus A320-251N,RA,Russia
155bc1,RA-89025,Sukhoi SuperJet 100-95B,RA,Russia
151dde,RA-73182,Airbus A320-214,RA,Russia
152c2e,RA-76846,Ilyushin Il-76TD,RA,Russia
151de8,RA-73192,Boeing 737-8GJ,RA,Russia
151e14,RA-73236,Boeing 737-8LJ,RA,Russia
15064a,RA-67146,Canadair CL-600-2B19 Regional Jet CRJ-100ER,RA,Russia
151f3f,RA-73535,Canadair CL-600-2B19 Challenger 850,RA,Russia
151d51,RA-73041,Boeing 737-524,RA,Russia
154f53,RA-85843,Tupolev Tu-154M,RA,Russia
140b40,RA-02880,Embraer ERJ 135BJ Legacy 600,RA,Russia
151fc4,RA-73668,Boeing 737-8LP,RA,Russia
151eda,RA-73434,Airbus A320-271N,RA,Russia
151d9e,RA-73118,Boeing 737-8LJ,RA,Russia
151d71,RA-73073,Boeing 757-2Q8,RA,Russia
14f116,RA-61718,Antonov An-148-100EA,RA,Russia
14066a,RA-01642,Bell 429 GlobalRanger,RA,Russia
151fd3,RA-73683,Airbus A319-114,RA,Russia
155be0,RA-89056,Sukhoi SuperJet 100-95B,RA,Russia
151efa,RA-73466,Airbus A320-271N,RA,Russia
151e63,RA-73315,Boeing 737-8KN,RA,Russia
151dcb,RA-73163,Airbus A321-211,RA,Russia
1506b2,RA-67250,Bombardier BD-100-1A10 Challenger 300,RA,Russia
15202a,RA-73770,Airbus A320-214,RA,Russia
151dc9,RA-73161,Airbus A321-211,RA,Russia
151d8c,RA-73100,Boeing 737-800WL,RA,Russia
151dfe,RA-73214,Airbus A320-214,RA,Russia
150693,RA-67219,Canadair CL-600-2B19 Challenger 850,RA,Russia
142587,RA-09607,Dassault Falcon 7X,RA,Russia
151d88,RA-73096,Boeing 737-8LJ,RA,Russia
151e22,RA-73250,Boeing 737-800WL,RA,Russia
155c26,RA-89126,Sukhoi SuperJet 100-95B,RA,Russia
15087f,RA-67711,Cessna 172S Skyhawk SP,RA,Russia
151e5b,RA-73307,Boeing 737-800WL,RA,Russia
157711,RA-96017,Ilyushin Il-96-300,RA,Russia
151da5,RA-73125,Boeing 737-8LJ,RA,Russia
151e59,RA-73305,Boeing 737-800WL,RA,Russia
155bfa,RA-89082,Sukhoi SuperJet 100-95LR,RA,Russia
151ee0,RA-73440,Airbus A321-271N,RA,Russia
152006,RA-73734,Airbus A320-251N,RA,Russia
14232d,RA-09005,Dassault Falcon 7X,RA,Russia
151e0e,RA-73230,Boeing 737-800WL,RA,Russia
152ad7,RA-76503,Ilyushin Il-76TD-90VD,RA,Russia
151dd2,RA-73170,Airbus A320-214,RA,Russia
151fbe,RA-73662,Airbus A320-251N,RA,Russia
152051,RA-73809,Airbus A320-214,RA,Russia
151fc8,RA-73672,Boeing 737-8LP,RA,Russia
150646,RA-67142,Canadair CL-600-2B19 Regional Jet CRJ-100ER,RA,Russia
151e1c,RA-73244,Boeing 737-800WL,RA,Russia
141e18,RA-07704,AgustaWestland AW139,RA,Russia
151e18,RA-73240,Boeing 737-800WL,RA,Russia
151de4,RA-73188,Boeing 737-8Q8,RA,Russia
152047,RA-73799,Airbus A321-231,RA,Russia
1506a8,RA-67240,Canadair CL-600-2B19 Regional Jet CRJ-200ER,RA,Russia
151ffd,RA-73725,Airbus A321-211,RA,Russia
152010,RA-73744,Airbus A320-214,RA,Russia
151ed6,RA-73430,Airbus A320-271N,RA,Russia
1506ac,RA-67244,Canadair CL-600-2B19 Challenger 850,RA,Russia
140aca,RA-02762,Raytheon Hawker 800XP,RA,Russia
