icao,tail,plane
738056,4X-EHH,Boeing 737-958ER
151ec1,RA-73409,Boeing 737-83N
152067,RA-73831,Airbus A320-214
151d92,RA-73106,Boeing 737-800WL
151e38,RA-73272,Boeing 777-2Q8ER
0a0093,7T-VKT,Boeing 737-7D6C
151e3c,RA-73276,Boeing 777-31HER
151f11,RA-73489,Boeing 737-83N
151d7f,RA-73087,Boeing 737-8AS
143d17,RA-07447,Robinson R66 Turbine
151fdd,RA-73693,Airbus A321-211
152030,RA-73776,Airbus A320-214
151ef6,RA-73462,Airbus A320-271N
151db3,RA-73139,Boeing 777-3M0ER
4bb870,TC-NCP,Airbus A320-251N
151e6d,RA-73325,Airbus A321-232
4ba8f9,TC-JGY,Boeing 737-8F2
155c10,RA-89104,Sukhoi SuperJet 100-95B
896335,A6-FED,Boeing 737-8KN
51007f,EW-399PO,Embraer 190-200LR-195LR
155bda,RA-89050,Sukhoi SuperJet 100-95LR
43beb9,RA-73151,Airbus A350-941
152026,RA-73766,Airbus A320-214
151feb,RA-73707,Airbus A321-211
70c0a7,A4O-DD,Airbus A330-343X
8963ba,A6-FEX,Boeing 737-8KN
734e70,EP-SSP,Airbus A319-111
4bb866,TC-NCF,Airbus A320-251N
151fe9,RA-73705,Airbus A321-251NX
155c06,RA-89094,Sukhoi SuperJet 100-95LR
140b2f,RA-02863,Embraer 170-100SU
010160,SU-GEB,Boeing 737-866
728677,YI-ASW,Boeing 737-800WL
152071,RA-73841,Airbus A321-231
15069d,RA-67229,Canadair CL-600-2B19 Regional Jet CRJ-200LR
8965d1,A6-FKF,Boeing 737-8
151d84,RA-73092,Boeing 757-222SF
4bb562,TC-MKB,Boeing 737-8
157766,RA-96102,Ilyushin Il-96-400T
151e2e,RA-73262,Boeing 737-7CT
781335,B-1041,Airbus A330-343E
151e55,RA-73301,Boeing 737-8LJ
151da9,RA-73129,Boeing 737-800WL
896533,A6-FML,Boeing 737-8
6831ef,UP-B3712,Boeing 737-35B
600012,EK-SHC,Boeing 737-55S
155c2a,RA-89130,Sukhoi SuperJet 100-95B
155bf6,RA-89078,Sukhoi SuperJet 100-95LR
15200a,RA-73738,Airbus A320-214
600bbf,4K-AZ11,Boeing 757-22L
151dab,RA-73131,Boeing 777-3M0ER
4bb84a,TC-NBJ,Airbus A320-251N
14fc16,RA-64534,Tupolev Tu-214PU
466b38,,-
4c01e1,YU-APB,Airbus A319-132
148000,RF-32768,Beriev Be-200CHS
15205f,RA-73823,Airbus A320-251N
155bc1,RA-89025,Sukhoi SuperJet 100-95B
8965ff,A6-ANC,Airbus A320-214
4ba948,TC-JJH,Boeing 777-3F2ER
151dde,RA-73182,Airbus A320-214
152c2e,RA-76846,Ilyushin Il-76TD
151de8,RA-73192,Boeing 737-8GJ
151e14,RA-73236,Boeing 737-8LJ
15064a,RA-67146,Canadair CL-600-2B19 Regional Jet CRJ-100ER
151f3f,RA-73535,Canadair CL-600-2B19 Challenger 850
60183c,EZ-A016,Boeing 737-82K
151d51,RA-73041,Boeing 737-524
154f53,RA-85843,Tupolev Tu-154M
140b40,RA-02880,Embraer ERJ 135BJ Legacy 600
151fc4,RA-73668,Boeing 737-8LP
600004,EK-FOA,Airbus A319-112
151eda,RA-73434,Airbus A320-271N
151d9e,RA-73118,Boeing 737-8LJ
151d71,RA-73073,Boeing 757-2Q8
4baa62,TC-JSB,Airbus A321-231
14f116,RA-61718,Antonov An-148-100EA
14066a,RA-01642,Bell 429 GlobalRanger
151fd3,RA-73683,Airbus A319-114
155be0,RA-89056,Sukhoi SuperJet 100-95B
151efa,RA-73466,Airbus A320-271N
151e63,RA-73315,Boeing 737-8KN
