icao,tail,plane_model,reg_country,type,max_passengers
780b69,B-5929,Airbus A330-343E,China,COMMERCIAL, 440
781540,B-303D,Airbus A330-343E,China,COMMERCIAL, 440
780ef8,B-8287,Airbus A330-343E,China,COMMERCIAL, 440
151e65,RA-73317,Boeing 737-82R,Russia,COMMERCIAL, 189
151e64,RA-73316,Boeing 737-82R,Russia,COMMERCIAL, 189
151e61,RA-73313,Boeing 737-82R,Russia,COMMERCIAL, 189
510115,EW-527PA,Boeing 737-82R,Belarus,COMMERCIAL, 189
683298,UP-B3732,Boeing 737-82R,Kazakhstan,COMMERCIAL, 189
683296,UP-B3730,Boeing 737-82R,Kazakhstan,COMMERCIAL, 189
683297,UP-B3731,Boeing 737-82R,Kazakhstan,COMMERCIAL, 189
151e73,RA-73331,Boeing 777-21HER,Russia,COMMERCIAL, 396
151e72,RA-73330,Boeing 777-21HER,Russia,COMMERCIAL, 396
151e71,RA-73329,Boeing 777-21HER,Russia,COMMERCIAL, 396
1407c6,RA-01990,AgustaWestland AW139,Russia,HELICOPTER, UNKNOWN
141e18,RA-07704,AgustaWestland AW139,Russia,HELICOPTER, UNKNOWN
141e19,RA-07705,AgustaWestland AW139,Russia,HELICOPTER, UNKNOWN
14069e,RA-01694,AgustaWestland AW139,Russia,HELICOPTER, UNKNOWN
141e16,RA-07702,AgustaWestland AW139,Russia,HELICOPTER, UNKNOWN
1407cd,RA-01997,AgustaWestland AW139,Russia,HELICOPTER, UNKNOWN
141e17,RA-07703,AgustaWestland AW139,Russia,HELICOPTER, UNKNOWN
151d8e,RA-73102,Boeing 737-800WL,Russia,COMMERCIAL, 189
151df8,RA-73208,Boeing 737-800WL,Russia,COMMERCIAL, 189
151e5d,RA-73309,Boeing 737-800WL,Russia,COMMERCIAL, 189
151e0c,RA-73228,Boeing 737-800WL,Russia,COMMERCIAL, 189
151e1e,RA-73246,Boeing 737-800WL,Russia,COMMERCIAL, 189
151d94,RA-73108,Boeing 737-800WL,Russia,COMMERCIAL, 189
151e12,RA-73234,Boeing 737-800WL,Russia,COMMERCIAL, 189
151d95,RA-73109,Boeing 737-800WL,Russia,COMMERCIAL, 189
151e1d,RA-73245,Boeing 737-800WL,Russia,COMMERCIAL, 189
151e09,RA-73225,Boeing 737-800WL,Russia,COMMERCIAL, 189
151e0b,RA-73227,Boeing 737-800WL,Russia,COMMERCIAL, 189
151d8d,RA-73101,Boeing 737-800WL,Russia,COMMERCIAL, 189
151dfb,RA-73211,Boeing 737-800WL,Russia,COMMERCIAL, 189
151d92,RA-73106,Boeing 737-800WL,Russia,COMMERCIAL, 189
151da9,RA-73129,Boeing 737-800WL,Russia,COMMERCIAL, 189
151d8c,RA-73100,Boeing 737-800WL,Russia,COMMERCIAL, 189
151e22,RA-73250,Boeing 737-800WL,Russia,COMMERCIAL, 189
151e5b,RA-73307,Boeing 737-800WL,Russia,COMMERCIAL, 189
151e59,RA-73305,Boeing 737-800WL,Russia,COMMERCIAL, 189
151e0e,RA-73230,Boeing 737-800WL,Russia,COMMERCIAL, 189
151e1c,RA-73244,Boeing 737-800WL,Russia,COMMERCIAL, 189
151e18,RA-73240,Boeing 737-800WL,Russia,COMMERCIAL, 189
151e19,RA-73241,Boeing 737-800WL,Russia,COMMERCIAL, 189
151e1b,RA-73243,Boeing 737-800WL,Russia,COMMERCIAL, 189
151e0d,RA-73229,Boeing 737-800WL,Russia,COMMERCIAL, 189
151e58,RA-73304,Boeing 737-800WL,Russia,COMMERCIAL, 189
151e5c,RA-73308,Boeing 737-800WL,Russia,COMMERCIAL, 189
151d8b,RA-73099,Boeing 737-800WL,Russia,COMMERCIAL, 189
151d93,RA-73107,Boeing 737-800WL,Russia,COMMERCIAL, 189
151e16,RA-73238,Boeing 737-800WL,Russia,COMMERCIAL, 189
151e57,RA-73303,Boeing 737-800WL,Russia,COMMERCIAL, 189
151d90,RA-73104,Boeing 737-800WL,Russia,COMMERCIAL, 189
151e20,RA-73248,Boeing 737-800WL,Russia,COMMERCIAL, 189
151d8a,RA-73098,Boeing 737-800WL,Russia,COMMERCIAL, 189
151e21,RA-73249,Boeing 737-800WL,Russia,COMMERCIAL, 189
151e5a,RA-73306,Boeing 737-800WL,Russia,COMMERCIAL, 189
151e0f,RA-73231,Boeing 737-800WL,Russia,COMMERCIAL, 189
151e56,RA-73302,Boeing 737-800WL,Russia,COMMERCIAL, 189
151e17,RA-73239,Boeing 737-800WL,Russia,COMMERCIAL, 189
151e0a,RA-73226,Boeing 737-800WL,Russia,COMMERCIAL, 189
151e67,RA-73319,Boeing 737-800WL,Russia,COMMERCIAL, 189
151e10,RA-73232,Boeing 737-800WL,Russia,COMMERCIAL, 189
151d96,RA-73110,Boeing 737-800WL,Russia,COMMERCIAL, 189
151d97,RA-73111,Boeing 737-800WL,Russia,COMMERCIAL, 189
151d8f,RA-73103,Boeing 737-800WL,Russia,COMMERCIAL, 189
151da0,RA-73120,Boeing 737-800WL,Russia,COMMERCIAL, 189
151e1f,RA-73247,Boeing 737-800WL,Russia,COMMERCIAL, 189
51009c,EW-457PA,Boeing 737-800WL,Belarus,COMMERCIAL, 189
51009b,EW-456PA,Boeing 737-800WL,Belarus,COMMERCIAL, 189
0101b6,SU-GEF,Boeing 737-800WL,Egypt,COMMERCIAL, 189
728677,YI-ASW,Boeing 737-800WL,Iraq,COMMERCIAL, 189
728676,YI-ASV,Boeing 737-800WL,Iraq,COMMERCIAL, 189
151ebf,RA-73407,Airbus A320-214,Russia,COMMERCIAL, 150
151dd4,RA-73172,Airbus A320-214,Russia,COMMERCIAL, 150
151ed0,RA-73424,Airbus A320-214,Russia,COMMERCIAL, 150
152016,RA-73750,Airbus A320-214,Russia,COMMERCIAL, 150
152020,RA-73760,Airbus A320-214,Russia,COMMERCIAL, 150
151dd8,RA-73176,Airbus A320-214,Russia,COMMERCIAL, 150
151ddc,RA-73180,Airbus A320-214,Russia,COMMERCIAL, 150
15204f,RA-73807,Airbus A320-214,Russia,COMMERCIAL, 150
15201a,RA-73754,Airbus A320-214,Russia,COMMERCIAL, 150
151ddb,RA-73179,Airbus A320-214,Russia,COMMERCIAL, 150
152021,RA-73761,Airbus A320-214,Russia,COMMERCIAL, 150
151fdc,RA-73692,Airbus A320-214,Russia,COMMERCIAL, 150
152060,RA-73824,Airbus A320-214,Russia,COMMERCIAL, 150
151dd5,RA-73173,Airbus A320-214,Russia,COMMERCIAL, 150
15202f,RA-73775,Airbus A320-214,Russia,COMMERCIAL, 150
152067,RA-73831,Airbus A320-214,Russia,COMMERCIAL, 150
152030,RA-73776,Airbus A320-214,Russia,COMMERCIAL, 150
152026,RA-73766,Airbus A320-214,Russia,COMMERCIAL, 150
15200a,RA-73738,Airbus A320-214,Russia,COMMERCIAL, 150
151dde,RA-73182,Airbus A320-214,Russia,COMMERCIAL, 150
15202a,RA-73770,Airbus A320-214,Russia,COMMERCIAL, 150
151dfe,RA-73214,Airbus A320-214,Russia,COMMERCIAL, 150
151dd2,RA-73170,Airbus A320-214,Russia,COMMERCIAL, 150
152051,RA-73809,Airbus A320-214,Russia,COMMERCIAL, 150
152010,RA-73744,Airbus A320-214,Russia,COMMERCIAL, 150
152011,RA-73745,Airbus A320-214,Russia,COMMERCIAL, 150
152050,RA-73808,Airbus A320-214,Russia,COMMERCIAL, 150
151eba,RA-73402,Airbus A320-214,Russia,COMMERCIAL, 150
15206a,RA-73834,Airbus A320-214,Russia,COMMERCIAL, 150
15201f,RA-73759,Airbus A320-214,Russia,COMMERCIAL, 150
152027,RA-73767,Airbus A320-214,Russia,COMMERCIAL, 150
152031,RA-73777,Airbus A320-214,Russia,COMMERCIAL, 150
152066,RA-73830,Airbus A320-214,Russia,COMMERCIAL, 150
15201e,RA-73758,Airbus A320-214,Russia,COMMERCIAL, 150
151dea,RA-73194,Airbus A320-214,Russia,COMMERCIAL, 150
15204b,RA-73803,Airbus A320-214,Russia,COMMERCIAL, 150
152024,RA-73764,Airbus A320-214,Russia,COMMERCIAL, 150
152032,RA-73778,Airbus A320-214,Russia,COMMERCIAL, 150
152065,RA-73829,Airbus A320-214,Russia,COMMERCIAL, 150
152012,RA-73746,Airbus A320-214,Russia,COMMERCIAL, 150
151dd0,RA-73168,Airbus A320-214,Russia,COMMERCIAL, 150
151ebb,RA-73403,Airbus A320-214,Russia,COMMERCIAL, 150
152028,RA-73768,Airbus A320-214,Russia,COMMERCIAL, 150
15202c,RA-73772,Airbus A320-214,Russia,COMMERCIAL, 150
152069,RA-73833,Airbus A320-214,Russia,COMMERCIAL, 150
15206b,RA-73835,Airbus A320-214,Russia,COMMERCIAL, 150
151ecd,RA-73421,Airbus A320-214,Russia,COMMERCIAL, 150
152068,RA-73832,Airbus A320-214,Russia,COMMERCIAL, 150
15202b,RA-73771,Airbus A320-214,Russia,COMMERCIAL, 150
152029,RA-73769,Airbus A320-214,Russia,COMMERCIAL, 150
151ebc,RA-73404,Airbus A320-214,Russia,COMMERCIAL, 150
151dd1,RA-73169,Airbus A320-214,Russia,COMMERCIAL, 150
152013,RA-73747,Airbus A320-214,Russia,COMMERCIAL, 150
152064,RA-73828,Airbus A320-214,Russia,COMMERCIAL, 150
152033,RA-73779,Airbus A320-214,Russia,COMMERCIAL, 150
152025,RA-73765,Airbus A320-214,Russia,COMMERCIAL, 150
151e01,RA-73217,Airbus A320-214,Russia,COMMERCIAL, 150
151ddf,RA-73183,Airbus A320-214,Russia,COMMERCIAL, 150
15204c,RA-73804,Airbus A320-214,Russia,COMMERCIAL, 150
15201d,RA-73757,Airbus A320-214,Russia,COMMERCIAL, 150
152014,RA-73748,Airbus A320-214,Russia,COMMERCIAL, 150
151ebd,RA-73405,Airbus A320-214,Russia,COMMERCIAL, 150
15202e,RA-73774,Airbus A320-214,Russia,COMMERCIAL, 150
151dcf,RA-73167,Airbus A320-214,Russia,COMMERCIAL, 150
151ecb,RA-73419,Airbus A320-214,Russia,COMMERCIAL, 150
